vietnamese	english
không bị tìm	unsearched
không bị tắc	unobstructed
không bị ủ	unincubated
không bị viêm	uninflamed
không bị vênh	unwarped
không bị vắt	unsqueezed
không bị vặn	undistorted
không bị xích	unironed
không bị xỉn	untarnished
không bị xoá	uneffaced
không bị ẩm	unsodden
không bị ô uế	clean
không bị ốm	undistempered
không bị đau	unhurt
không bị đuổi	undriven
không bị ướt	unwetted
không bịa	unimagined
không bịt mõm	unmuzzle
không bo hiểm	unsecured
không bo đm	unsecured
không bó bột	unset
không bóc vỏ	unpeeled
không bón phân	unmanured
không bón vôi	unlimed
không bóng	dead
không bỏ	retain
không bỏ ra	cover
không bỏ được	inherent
không bọc sắt	unplated
không buồn	unpained
không buồn đau	painlessly
không buộc	adrift
không bầu cho	blackball
không bầu cử	non-voting
không bẩn	uncorrupt
không bận	unengaged
không bận tâm	unpreoccupied
không bật hơi	unaspirated
không bền	labile
không bôi màu	untinctured
không bôi mỡ	unoiled
không bố	unfathered
không bối rối	unfazed
không bổ	lean
không bổ ích	unsalutary
không băn khoăn	comfortable
không bằng	less
không bắc cầu	intransitive
không bắt lửa	non-flammable
không bờ bến	landless
không bớt	unallayed
không bớt đau	unrelieved
không bớt đi	unsubdued
không bợ đỡ	unflattering
không bừa bãi	unincumbered
không bực bội	unresented
không bực tức	unvexed
không c i được	untenable
không c tin	unswallowed
không cam chịu	unreconciled
không cam kết	uncommitted
không can gì	unharmed
không can đảm	uncourageous
không canh gác	unwatched
không cao	uncommanding
không cài khuy	unbraced
không cài số	ungear
không cài then	unbolted
không cày	unbroken
không cày bừa	unhusbanded
không cày cấy	feral
không cày xới	unfurrowed
không cách ly	unisolated
không cám dỗ	unseductive
không cánh	exalate
không cánh hoa	petalles
không cáu	unembittered
không cải đạo	unconverted
không cảm xúc	insensate
không cạn	wasteless
không cạo	unshorn
không cạo râu	unrazored
không cha	unfathered
không chai	uncalloused
không chan hoà	unexpansive
không chán	untired
không chát	fresh
không cháy	unburnt
không chải	unkempt
không chảy	streamless
không chảy ra	unmelted
không chạy	lock
không che	unscreened
không che dấu	professedly
không che giấu	open
không che mạng	barefaced
không che phủ	unmantle
không che đậy	bald
không chi	untidy
không chi tiết	unelaborate
không chia rẽ	unsplit
không chia đốt	ameristic
không chia độ	ungraduated
không chín	unmellow
không chính	unoriginal
không chỉ huy	uncommanding
không chỉ rõ	unspecified
không chỉnh	halt
không chịu	uncharged
không chịu ăn	balk
không cho	hold
không cho  vào	exclude
không cho dầu	ungreased
không cho mượn	unlet
không cho nói	tongue-tie
không cho phép	disallow
không cho thuê	unlet
không cho vay	unlet
không cho vào	kept
không chóp	apileate
không chu đáo	incogitant
không chua	unfermented
không chung thu	inconstant
không chuyên	inexpertly
không chuẩn	abnormal
không chuẩn y	unapproving
không chuộng	unappreciative
không chùng	unslacked
không chú ý	mind
không chút gì	any
không chủ tâm	unwitting
không chủ yếu	unvital
không chủ ý	unawares
không châm	unlit
không chân	apodal
không chê được	spanking
không chế tinh	unrefined
không chết	undying
không chôn cất	unburied
không chồng	single
không chối bỏ	unretracted
không chăm chỉ	unindustrious
không chăm chú	unattentive
không chăm sóc	unattended
không chắc	wasty
không chắc đâu	fear
không chẵn	uneven
không chặn	unbarred
không chặt	loose
không chơi	tuneless
không chờ đợi	unhoped
không chừng	belike
không chứa clo	unchlorinated
không chữa	untreated
không ci tạo	unregenerate
không cnh giác	unwatchful
không co giãn.	inelastic
không co lại	unretracted
không coi được	unpresentable
không cong	unyielding
không còn	minus
không còn nữa	die
không còn trẻ	unyouthful
không có	null
không có áo	sheathless
không có bao	sheathless
không có báng	stockless
không có bão	stormless
không có bạn	mateless
không có boong	undecked
không có bọt	foamless
không có buồm	sailess
không có bụi	dustless
không có bậc	stepless
không có bố	fatherless
không có băng	ice-free
không có bằng	ungraduated
không có bướu	humpless
không có cành	branchless
không có cán	stockless
không có cánh	armless
không có cha	fatherless
không có chị	sisterless
không có chóp	summitless
không có chủ	unowned
không có chụp	unshaded
không có châm	stingless
không có chân	legless
không có con	chick
không có cỏ	grassless
không có cọng	stemless
không có cùm	fetterless
không có của	fortuneless
không có cầu	bridgeless
không có cặp	unpaired
không có da	skinless
không có dải	stringless
không có duyên	ungraceful
không có dây	stringless
không có dấu	signless
không có gai	spineless
không có gan	gutless
không có giày	shoeless
không có giá	unvalued
không có gió	windless
không có giậu	unhedged
không có gân	nerveless
không có hạch	stoneless
không có hại	harmless
không có hạt	seedless
không có hi	unscented
không có hình	unformed
không có hoa	flowerless
không có học	unread
không có hơi	uniflated
không có ích	unconducive
không có khoá	lockless
không có khói	smokeless
không có khung	unframed
không có khuôn	unshaped
không có khớp	anarthrous
không có kính	unglazed
không có kíp	unfused
không có lá	leafless
không có lãi	profitless
không có lót	unlined
không có lông	hairless
không có lốp	tyreless
không có lỗ	undrilled
không có lỗ h	leakless
không có lỗi	unfaulty
không có lời	unpayable
không có lợi	unsalutary
không có lửa	fireless
không có lực	forceless
không có mao	unciliated
không có màn	uncurtained
không có mào	crestless
không có mái	roofless
không có máu	bloodless
không có muội	sootless
không có mùi	unscented
không có mây	cloudless
không có mấu	clean
không có mồm	astomatous
không có mộ	tombless
không có mắt	eyeless
không có mặt	bottomless
không có mỡ	fatless
không có mưa	rainless
không có mực	inkless
không có neo	anchorless
không có ngòi	unfused
không có ngón	fingerless
không có ngọn	topless
không có ngôi	crownless
không có ngựa	steedless
không có nhãn	unlabelled
không có nhíp	unsprung
không có nhị	anandrous
không có nhựa	sapless
không có nọc	stingless
không có nệm	uncushioned
không có nước	waterless
không có qua	nonbearing
không có quai	earless
không có quả	barren
không có rào	unhedged
không có ruột	pithless
không có râu	glabrous
không có rễ	rootless
không có răng	edental
không có rừng	woodless
không có sao	starless
không có sách	unbooked
không có sẹo	unscarred
không có sóng	waveless
không có sọc	unstriped
không có suối	streamless
không có sông	streamless
không có sẵn	unforthcoming
không có sợi	fiberless
không có sương	dewless
không có sừng	hummel
không có sức	forceless
không có sữa	yeld
không có tai	earless
không có tay	armless
không có tài	talentless
không có thảm	uncarpeted
không có thịt	meatless
không có thân	stemless
không có thật	unsubstantial
không có thớ	fiberless
không có thực	imaginary
không có tiền	cash
không có tình	unloving
không có tóc	hairless
không có tua	fringeless
không có tuỷ	marrowless
không có tâm	acentric
không có tên	titleless
không có tội	innocent
không có van	valveless
không có vành	brimless
không có vẻ	untinged
không có việc	grass
không có vòi	spoutless
không có vỏ	unshelled
không có vua	crownless
không có vết	spotless
không có vệt	unstriped
không có vốn	out-of-pocket
không có vữa	unplastered
không có yên	barebacked
không có yếm	topless
không có đá	stoneless
không có đáy	unbottomed
không có điện	wattless
không có đỉnh	summitless
không có đuôi	anurous
không có đủ	strapped
không có đầu	headless
không có đất	unlanded
không có đệm	cushionless
không có đôi	unpaired
không có đốm	spotless
không có đức	unvirtuous
không cọng	scapeless
không cuống	sessile
không cùng	unbottomed
không cúi	unbowed
không cân	oblique
không cân bằng	unequal
không cân nhắc	unweighed
không cân sức	unevenly
không cân xứng	lop-sided
không cân đối	unsymmetrical
không câu nệ	unstuffy
không cây cối	uncovered
không cầm cố	unpledged
không cầm máu	unstanched
không cần	curse
không cần cù	unindustrious
không cần mẫn	unstudious
không cần săm	tubeless
không cần đến	spare
không cầu kỳ	chaste
không cầu lợi	uninterested
không cầu xin	unbesought
không cấm	unblock
không cô gọn	unabridged
không cô lập	unisolated
không cô đặc	uncondensed
không công bố	unpublished
không công khai	curtain
không cố gắng	unstudious
không cố hữu	extrinsic
không cố ý	unwitting
không cốt yếu	unessential
không cổ điển	non-classical
không căn cứ	idle
không căng	loose
không cằn cỗi	unsterile
không cắt	uncut
không cắt xén	length
không cơ bản	inorganically
không cơ khí	unmechanical
không cởi mở	cagy
không cười	unsmiling
không cứng	supplely
không cử động	stirless
không cực đoan	middle-of-the-road
không dai	tenderly
không dao động	know
không dàn xếp	unsmoothed
không dám	all
không dám làm	unenterprising
không dán tem	unpaid
không dát	unset
không dạng	anidian
không dè	unlooked-for
không dè dặt	unreserved
không dẻo	unpliant
không di trú	resident
không diềm	acraspedout
không diễn ra	unfought
không diện	unsmart
không dính	unaddhesive
không dính mỡ	lean
không dịu	untender
không dịu bớt	unassuaged
không dịu đi	unsubdued
không do dự	bone
không dò	unsounded
không dò ra	unfathomable
không dò được	unfathomable
không dọn dẹp	uncleared
không du dưng	untuneful
không du dương	tuneless
không dung môi	solventless
không dung thứ	intolerant
không duy vật	unmaterialistic
không dùng	unused
không dùng lâu	non-durable
không dùng sai	unperveted
không dân chủ	undemocratic
không dân tộc	unnational
không dây	cordless
không dây dưa	unpausing
không dấu in	printless
không dấu vết	asemic
không dẫn	non-conductive
không dậy	unraised
không dễ bảo	unpliant
không dễ chịu	unpleasing
không dễ dàng	uneasily
không dễ dãi	uncomplaisant
không dễ hát	unsingable
không dễ hiểu	unclarified
không dễ mến	unlikable
không dễ uốn	unpliant
không dốc	uninclined
không dốt	uncauterized
không dằn lại	untamed
không dời chổ	unshift
không dứt	constant
không dữ tợn	undangerous
không dự	cut
không dự kiến	unforeseen
không dựa vào	unrested
không e sợ	unbashful
không ép buộc	spontaneously
không gai	anacanthous
không gan dạ	pluckless
không ganh tị	unenvious
không gài số	gear
không gảy	tuneless
không gạn lọc	unsifted
không ghen tị	unjealous
không ghép	ungrafted
không ghi	unstored
không ghi vào	drop
không ghê tay	blood
không gi mạo	unsophisticated
không gia hạn	unextended
không gia vị	unseasoned
không gia đình	kinless
không gian	air
không gian dối	stand-up
không gian lao	unfatiguing
không gian lận	fairly
không gian trá	unsophisticated
không gian xảo	craftless
không giao	uncommitted
không giao nhau	non-overlapping
không giàn	frameless
không giàu	unwealthy
không giã	unbruised
không giả	unfaked
không giả mạo	pukka
không giả tạo	artless
không giả trá	undissembling
không giả vờ	unartful
không giải	unsolved
không giảm	kept
không giản dị	wantonly
không gieo	unsown
không gieo rắc	undispersed
không giỏi	unversed
không giấy tờ	paperless
không giật gân	unsensational
không giống	unalike
không giặt	unwashed
không giữ lời	unsay
không gì bằng	unparalleled
không gỉ	rustproof
không gò bó	freely
không gò ép	unlaboured
không gói	open
không gọn	clumsy
không gọt	unpared
không gọt vỏ	unpeeled
không gù lưng	humpless
không gân	veinless
không gây chết	unlethal
không gây gổ	uncombative
không gây hại	unharmful
không gây được	infrangible
không gần gũi	contact
không gấp nếp	unpleated
không gồm	uninvolved
không gộp vào	unembodied
không gắn	ununited
không gắn bó	ununited
không gắt	mild
không gặp	contact
không gặt	uncropped
không gờ	flangeless
không gỡ hoà	unequalise
không gợi cảm	jejune
không gợi lại	unreminiscent
không gửi	unsent
không gửi đi	undispatched
không ham	unfond
không ham biết	uncurious
không ham muốn	undesirous
không hao	fixity
không hay	unlucky
không hay ghen	unjealous
không hài hoà	unharmonious
không hái	unculled
không hám lợi	unmercenary
không háo hức	uneager
không hạ	kept
không hạ cánh	unlanded
không hạ mình	unhumbled
không hại	innocent
không hạn chế	open
không hạt	agranular
không hé răng	lip
không héo	unfading
không hẹp hòi	liberal
không hiếm hoi	unsterile
không hiếm khi	unseldom
không hiếu sự	unofficious
không hiểu	miss
không hiểu rõ	unapprehended
không hiểu sai	unperveted
không hn	unsurpassed
không hoa lệ	unlustrous
không hoa mỹ	classical
không hoà hợp	jar
không hoà nhã	ungentle
không hoà âm	unattuned
không hoàn mỹ	flawed
không hoạn	entire
không hoen	unsullied
không hoen ố	unblotted
không hót	songless
không hỏng	sound
không hùng vĩ	unimposing
không hủy bỏ	unabrogated
không hy vọng	hopeless
không hấp dẫn	heavy
không hấp tấp	unhasting
không hận thù	revengeless
không hề có	unprecedented
không hề gì	odds
không hề gì!	mind
không hết	unslaked
không hết đau	unrelieved
